"a-1_number_of_villages,_towns,_households,_population_and_area",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,source_dataset
State  Code,District Code,Sub District Code,India/ State/ Union Territory/ District/ Sub-district,Name,"Total/
Rural/
Urban",Number of villages,,Number of towns,Number of households,Population,,,"Area
 (In sq. km)",Population per sq. km.,census
,,,,,,Inhabited,Uninhabited,,,Persons,Males,Females,,,census
20,362,02668,SUB-DISTRICT,Ramgarh,Urban,0,0,0,0,0,0,0,0,0,census
20,362,02669,SUB-DISTRICT,Gopikandar,Total,128,1,0,9272,42063,20999,21064,231.71717930518312,181.52732622642935,census
20,362,02669,SUB-DISTRICT,Gopikandar,Rural,128,1,0,9272,42063,20999,21064,231.71717930518312,181.52732622642935,census
20,362,02669,SUB-DISTRICT,Gopikandar,Urban,0,0,0,0,0,0,0,0,0,census
20,362,02670,SUB-DISTRICT,Kathikund,Total,193,4,0,14973,71458,35598,35860,329.70982183544567,216.72997062145106,census
20,362,02670,SUB-DISTRICT,Kathikund,Rural,193,4,0,14973,71458,35598,35860,329.70982183544567,216.72997062145106,census
20,362,02670,SUB-DISTRICT,Kathikund,Urban,0,0,0,0,0,0,0,0,0,census
20,362,02671,SUB-DISTRICT,Shikaripara,Total,242,19,0,27609,131464,65723,65741,455.45700547667514,288.64195394779705,census
20,362,02671,SUB-DISTRICT,Shikaripara,Rural,242,19,0,27609,131464,65723,65741,455.45700547667514,288.64195394779705,census
20,362,02671,SUB-DISTRICT,Shikaripara,Urban,0,0,0,0,0,0,0,0,0,census
20,362,02672,SUB-DISTRICT,Ranishwar,Total,191,26,0,22598,101667,51115,50552,339.42183378857214,299.5299355530822,census
20,362,02672,SUB-DISTRICT,Ranishwar,Rural,191,26,0,22598,101667,51115,50552,339.42183378857214,299.5299355530822,census
20,362,02672,SUB-DISTRICT,Ranishwar,Urban,0,0,0,0,0,0,0,0,0,census
20,362,02673,SUB-DISTRICT,Dumka,Total,256,17,4,42746,210785,107949,102836,378.7684661719339,556.5009202860057,census
20,362,02673,SUB-DISTRICT,Dumka,Rural,256,17,0,28967,137730,69224,68506,368.7484661719339,373.50663835922654,census
20,362,02673,SUB-DISTRICT,Dumka,Urban,0,0,4,13779,73055,38725,34330,10.02,7290.918163672655,census
20,362,02674,SUB-DISTRICT,Jama,Total,311,9,0,28187,137963,69621,68342,371.7778950013947,371.0898411522892,census
20,362,02674,SUB-DISTRICT,Jama,Rural,311,9,0,28187,137963,69621,68342,371.7778950013947,371.0898411522892,census
20,362,02674,SUB-DISTRICT,Jama,Urban,0,0,0,0,0,0,0,0,0,census
20,362,02675,SUB-DISTRICT,Masalia,Total,290,27,0,26837,124554,62828,61726,464.80546618021936,267.97017045343136,census
20,362,02675,SUB-DISTRICT,Masalia,Rural,290,27,0,26837,124554,62828,61726,464.80546618021936,267.97017045343136,census
20,362,02675,SUB-DISTRICT,Masalia,Urban,0,0,0,0,0,0,0,0,0,census
20,363,00000,DISTRICT,Jamtara,Total,1082,79,3,155275,791042,404830,386212,1811,436.79845389287686,census
20,363,00000,DISTRICT,Jamtara,Rural,1082,79,0,140311,715296,365043,350253,1778.95,402.0888726495967,census
20,363,00000,DISTRICT,Jamtara,Urban,0,0,3,14964,75746,39787,35959,32.05,2363.3697347893917,census
20,363,02676,SUB-DISTRICT,Narayanpur,Total,247,15,0,28942,163966,83977,79989,267.7236016480526,612.445070179313,census
20,363,02676,SUB-DISTRICT,Narayanpur,Rural,247,15,0,28942,163966,83977,79989,267.7236016480526,612.445070179313,census
20,363,02676,SUB-DISTRICT,Narayanpur,Urban,0,0,0,0,0,0,0,0,0,census
20,363,02677,SUB-DISTRICT,Karma Tanr Vidyasagar,Total,145,5,1,20572,115266,58937,56329,180.0528912548923,640.1785564044258,census
20,363,02677,SUB-DISTRICT,Karma Tanr Vidyasagar,Rural,145,5,0,19490,109398,55923,53475,176.9428912548923,618.2672794828951,census
20,363,02677,SUB-DISTRICT,Karma Tanr Vidyasagar,Urban,0,0,1,1082,5868,3014,2854,3.11,1886.8167202572347,census
20,363,02678,SUB-DISTRICT,Jamtara,Total,124,13,2,39653,202478,104162,98316,368.6362422568464,549.2623263529362,census
20,363,02678,SUB-DISTRICT,Jamtara,Rural,124,13,0,25771,132600,67389,65211,339.6962422568464,390.3487395652152,census
20,363,02678,SUB-DISTRICT,Jamtara,Urban,0,0,2,13882,69878,36773,33105,28.94,2414.5818935729094,census
20,363,02679,SUB-DISTRICT,Nala,Total,242,19,0,28218,134780,68771,66009,365.67860110366803,368.57502624768176,census
20,363,02679,SUB-DISTRICT,Nala,Rural,242,19,0,28218,134780,68771,66009,365.67860110366803,368.57502624768176,census
20,363,02679,SUB-DISTRICT,Nala,Urban,0,0,0,0,0,0,0,0,0,census
20,363,02680,SUB-DISTRICT,Fatehpur,Total,168,11,0,18358,89645,45546,44099,342.826931562269,261.4876246492246,census
20,363,02680,SUB-DISTRICT,Fatehpur,Rural,168,11,0,18358,89645,45546,44099,342.826931562269,261.4876246492246,census
20,363,02680,SUB-DISTRICT,Fatehpur,Urban,0,0,0,0,0,0,0,0,0,census
20,363,02681,SUB-DISTRICT,Kundhit,Total,156,16,0,19532,84907,43437,41470,286.08173217427185,296.7928058694687,census
20,363,02681,SUB-DISTRICT,Kundhit,Rural,156,16,0,19532,84907,43437,41470,286.08173217427185,296.7928058694687,census
20,363,02681,SUB-DISTRICT,Kundhit,Urban,0,0,0,0,0,0,0,0,0,census
20,364,00000,DISTRICT,Ranchi,Total,1296,15,15,569444,2914253,1494937,1419316,5097,571.758485383559,census
20,364,00000,DISTRICT,Ranchi,Rural,1296,15,0,326235,1656918,840528,816390,4816.02,344.0437208394501,census
20,364,00000,DISTRICT,Ranchi,Urban,0,0,15,243209,1257335,654409,602926,280.98,4474.661019965123,census
20,364,02682,SUB-DISTRICT,Burmu,Total,77,0,0,16974,89889,45663,44226,323.03802309837715,278.2613611173117,census
20,364,02682,SUB-DISTRICT,Burmu,Rural,77,0,0,16974,89889,45663,44226,323.03802309837715,278.2613611173117,census
20,364,02682,SUB-DISTRICT,Burmu,Urban,0,0,0,0,0,0,0,0,0,census
20,364,02683,SUB-DISTRICT,Khelari,Total,14,0,4,15111,78219,40553,37666,135.1389334315004,578.8043313191299,census
20,364,02683,SUB-DISTRICT,Khelari,Rural,14,0,0,4167,21869,11209,10660,90.05893343150039,242.82988002110585,census
20,364,02683,SUB-DISTRICT,Khelari,Urban,0,0,4,10944,56350,29344,27006,45.08,1250,census
20,364,02684,SUB-DISTRICT,Kanke,Total,103,0,3,253026,1317499,684804,632695,432.39582332424453,3046.9743899723917,census
20,364,02684,SUB-DISTRICT,Kanke,Rural,103,0,0,40602,216930,111800,105130,247.73582332424454,875.6505098419905,census
20,364,02684,SUB-DISTRICT,Kanke,Urban,0,0,3,212424,1100569,573004,527565,184.66,5959.9750893534065,census
20,364,02685,SUB-DISTRICT,Ormanjhi,Total,87,3,1,17767,94137,48416,45721,235.00902221861722,400.56759996400916,census
20,364,02685,SUB-DISTRICT,Ormanjhi,Rural,87,3,0,16954,88927,45670,43257,232.19902221861722,382.9774955566976,census
20,364,02685,SUB-DISTRICT,Ormanjhi,Urban,0,0,1,813,5210,2746,2464,2.81,1854.0925266903914,census
20,364,02686,SUB-DISTRICT,Angara,Total,82,1,0,22572,112759,56841,55918,406.3072670664062,277.52149454312087,census
20,364,02686,SUB-DISTRICT,Angara,Rural,82,1,0,22572,112759,56841,55918,406.3072670664062,277.52149454312087,census
20,364,02686,SUB-DISTRICT,Angara,Urban,0,0,0,0,0,0,0,0,0,census
20,364,02687,SUB-DISTRICT,Rahe,Total,59,0,0,12283,53916,27334,26582,179.51386089810384,300.34449557409914,census
20,364,02687,SUB-DISTRICT,Rahe,Rural,59,0,0,12283,53916,27334,26582,179.51386089810384,300.34449557409914,census
20,364,02687,SUB-DISTRICT,Rahe,Urban,0,0,0,0,0,0,0,0,0,census
20,364,02688,SUB-DISTRICT,Silli,Total,94,2,1,23783,113798,58087,55711,303.6067660400197,374.8203687430332,census
20,364,02688,SUB-DISTRICT,Silli,Rural,94,2,0,21240,101054,51498,49556,297.88676604001967,339.2362854629933,census
20,364,02688,SUB-DISTRICT,Silli,Urban,0,0,1,2543,12744,6589,6155,5.72,2227.972027972028,census
20,364,02689,SUB-DISTRICT,Sonahatu,Total,64,0,0,17760,77252,39127,38125,303.95659227183955,254.1547114428454,census
20,364,02689,SUB-DISTRICT,Sonahatu,Rural,64,0,0,17760,77252,39127,38125,303.95659227183955,254.1547114428454,census
20,364,02689,SUB-DISTRICT,Sonahatu,Urban,0,0,0,0,0,0,0,0,0,census
20,364,02690,SUB-DISTRICT,Namkum,Total,92,5,3,28756,145841,74142,71699,496.3610197727599,293.8204133490736,census
20,364,02690,SUB-DISTRICT,Namkum,Rural,92,5,0,23299,118002,59330,58672,482.6610197727599,244.48214205397431,census
20,364,02690,SUB-DISTRICT,Namkum,Urban,0,0,3,5457,27839,14812,13027,13.7,2032.043795620438,census
20,364,02691,SUB-DISTRICT,Ratu,Total,37,0,1,14418,76565,38785,37780,108.82776048068584,703.5429164563975,census
20,364,02691,SUB-DISTRICT,Ratu,Rural,37,0,0,9984,54186,27264,26922,99.97776048068584,541.9805338655079,census
20,364,02691,SUB-DISTRICT,Ratu,Urban,0,0,1,4434,22379,11521,10858,8.85,2528.7005649717516,census
20,364,02692,SUB-DISTRICT,Nagri,Total,44,1,1,14629,76442,38558,37884,156.1603097254026,489.50978731034866,census
20,364,02692,SUB-DISTRICT,Nagri,Rural,44,1,0,12490,65252,32905,32347,153.99030972540262,423.7409491308781,census
20,364,02692,SUB-DISTRICT,Nagri,Urban,0,0,1,2139,11190,5653,5537,2.17,5156.68202764977,census
20,364,02693,SUB-DISTRICT,Mandar,Total,69,0,0,22811,128585,65134,63451,242.302369112316,530.6799123387694,census
20,364,02693,SUB-DISTRICT,Mandar,Rural,69,0,0,22811,128585,65134,63451,242.302369112316,530.6799123387694,census
20,364,02693,SUB-DISTRICT,Mandar,Urban,0,0,0,0,0,0,0,0,0,census
20,364,02694,SUB-DISTRICT,Chanho,Total,67,0,0,19386,107503,54283,53220,282.55358736140664,380.46942176138725,census
20,364,02694,SUB-DISTRICT,Chanho,Rural,67,0,0,19386,107503,54283,53220,282.55358736140664,380.46942176138725,census
20,364,02694,SUB-DISTRICT,Chanho,Urban,0,0,0,0,0,0,0,0,0,census
20,364,02695,SUB-DISTRICT,Bero,Total,84,0,0,20446,113090,57311,55779,296.88586207111706,380.92079970082926,census
20,364,02695,SUB-DISTRICT,Bero,Rural,84,0,0,20446,113090,57311,55779,296.88586207111706,380.92079970082926,census
20,364,02695,SUB-DISTRICT,Bero,Urban,0,0,0,0,0,0,0,0,0,census
20,364,02696,SUB-DISTRICT,Itki,Total,30,0,0,9115,50058,25234,24824,100.05030230047856,500.3283233434124,census
20,364,02696,SUB-DISTRICT,Itki,Rural,30,0,0,9115,50058,25234,24824,100.05030230047856,500.3283233434124,census
20,364,02696,SUB-DISTRICT,Itki,Urban,0,0,0,0,0,0,0,0,0,census
20,364,02697,SUB-DISTRICT,Lapung,Total,78,1,0,11963,63053,31319,31734,310.1686580853679,203.28617465484177,census
20,364,02697,SUB-DISTRICT,Lapung,Rural,78,1,0,11963,63053,31319,31734,310.1686580853679,203.28617465484177,census
20,364,02697,SUB-DISTRICT,Lapung,Urban,0,0,0,0,0,0,0,0,0,census
20,364,02698,SUB-DISTRICT,Bundu,Total,87,1,1,18367,82975,42273,40702,263.93859151062884,314.3723679250542,census
20,364,02698,SUB-DISTRICT,Bundu,Rural,87,1,0,13912,61921,31533,30388,245.93859151062884,251.77423201321346,census
20,364,02698,SUB-DISTRICT,Bundu,Urban,0,0,1,4455,21054,10740,10314,18,1169.6666666666667,census
20,364,02699,SUB-DISTRICT,Tamar I,Total,128,1,0,30277,132672,67073,65599,520.7852512307279,254.75375826498052,census
20,364,02699,SUB-DISTRICT,Tamar I,Rural,128,1,0,30277,132672,67073,65599,520.7852512307279,254.75375826498052,census
20,364,02699,SUB-DISTRICT,Tamar I,Urban,0,0,0,0,0,0,0,0,0,census
20,365,00000,DISTRICT,Khunti,Total,754,2,2,103700,531885,266335,265550,2535.0032049617666,209.81630277979156,census
20,365,00000,DISTRICT,Khunti,Rural,754,2,0,94645,486903,243494,243409,2500.7032049617665,194.70643258820644,census
20,365,00000,DISTRICT,Khunti,Urban,0,0,2,9055,44982,22841,22141,34.3,1311.4285714285716,census
20,365,02700,SUB-DISTRICT,Karra,Total,178,0,0,20839,109082,54615,54467,500.16906353913583,218.0902577783379,census
20,365,02700,SUB-DISTRICT,Karra,Rural,178,0,0,20839,109082,54615,54467,500.16906353913583,218.0902577783379,census
20,365,02700,SUB-DISTRICT,Karra,Urban,0,0,0,0,0,0,0,0,0,census
20,365,02701,SUB-DISTRICT,Torpa,Total,94,0,1,17607,92991,46272,46719,433.91316159970535,214.30785749197045,census
20,365,02701,SUB-DISTRICT,Torpa,Rural,94,0,0,15797,84399,41997,42402,425.41316159970535,198.39301558661145,census
20,365,02701,SUB-DISTRICT,Torpa,Urban,0,0,1,1810,8592,4275,4317,8.5,1010.8235294117648,census
20,365,02702,SUB-DISTRICT,Rania,Total,66,1,0,7813,39349,19638,19711,257.3440827517633,152.90423459223828,census
20,365,02702,SUB-DISTRICT,Rania,Rural,66,1,0,7813,39349,19638,19711,257.3440827517633,152.90423459223828,census
20,365,02702,SUB-DISTRICT,Rania,Urban,0,0,0,0,0,0,0,0,0,census
20,365,02703,SUB-DISTRICT,Murhu,Total,141,0,0,16323,85486,42936,42550,379.8565051124489,225.04814015148585,census
20,365,02703,SUB-DISTRICT,Murhu,Rural,141,0,0,16323,85486,42936,42550,379.8565051124489,225.04814015148585,census
20,365,02703,SUB-DISTRICT,Murhu,Urban,0,0,0,0,0,0,0,0,0,census
20,365,02704,SUB-DISTRICT,Khunti,Total,147,1,1,24607,124388,62401,61987,463.8913073911953,268.14039844705417,census
20,365,02704,SUB-DISTRICT,Khunti,Rural,147,1,0,17362,87998,43835,44163,438.0913073911953,200.86680222901992,census
20,365,02704,SUB-DISTRICT,Khunti,Urban,0,0,1,7245,36390,18566,17824,25.8,1410.4651162790697,census
20,365,02705,SUB-DISTRICT,Erki(Tamar II),Total,128,0,0,16511,80589,40473,40116,499.8290845675179,161.233114454975,census
20,365,02705,SUB-DISTRICT,Erki(Tamar II),Rural,128,0,0,16511,80589,40473,40116,499.8290845675179,161.233114454975,census
20,365,02705,SUB-DISTRICT,Erki(Tamar II),Urban,0,0,0,0,0,0,0,0,0,census
20,366,00000,DISTRICT,Gumla,Total,942,4,3,188988,1025213,514390,510823,5360.000000000001,191.2710820895522,census
20,366,00000,DISTRICT,Gumla,Rural,942,4,0,176633,960132,481135,478997,5333.300000000001,180.0258751617197,census
20,366,00000,DISTRICT,Gumla,Urban,0,0,3,12355,65081,33255,31826,26.7,2437.49063670412,census
20,366,02706,SUB-DISTRICT,Bishunpur,Total,68,0,0,11262,62319,31506,30813,620.6948270703568,100.4019967334705,census
20,366,02706,SUB-DISTRICT,Bishunpur,Rural,68,0,0,11262,62319,31506,30813,620.6948270703568,100.4019967334705,census
20,366,02706,SUB-DISTRICT,Bishunpur,Urban,0,0,0,0,0,0,0,0,0,census
20,366,02707,SUB-DISTRICT,Ghaghra,Total,119,0,1,20262,114399,57147,57252,538.0951899875272,212.59993051164741,census
20,366,02707,SUB-DISTRICT,Ghaghra,Rural,119,0,0,18533,105819,52853,52966,522.1851899875272,202.64649788809132,census
20,366,02707,SUB-DISTRICT,Ghaghra,Urban,0,0,1,1729,8580,4294,4286,15.91,539.2834695160276,census
20,366,02708,SUB-DISTRICT,Sisai,Total,87,1,0,20941,116844,58427,58417,427.03554179181606,273.61656950081823,census
20,366,02708,SUB-DISTRICT,Sisai,Rural,87,1,0,20941,116844,58427,58417,427.03554179181606,273.61656950081823,census
20,366,02708,SUB-DISTRICT,Sisai,Urban,0,0,0,0,0,0,0,0,0,census
20,366,02709,SUB-DISTRICT,Verno,Total,69,0,0,15015,84572,42355,42217,302.0739123170357,279.97121416840235,census
20,366,02709,SUB-DISTRICT,Verno,Rural,69,0,0,15015,84572,42355,42217,302.0739123170357,279.97121416840235,census
20,366,02709,SUB-DISTRICT,Verno,Urban,0,0,0,0,0,0,0,0,0,census
20,366,02710,SUB-DISTRICT,Kamdara,Total,73,0,0,12371,63775,31686,32089,367.47049840883744,173.55134705003096,census
20,366,02710,SUB-DISTRICT,Kamdara,Rural,73,0,0,12371,63775,31686,32089,367.47049840883744,173.55134705003096,census
20,366,02710,SUB-DISTRICT,Kamdara,Urban,0,0,0,0,0,0,0,0,0,census
20,366,02711,SUB-DISTRICT,Basia,Total,88,0,0,15754,80731,40321,40410,405.71917049724317,198.98246341442857,census
20,366,02711,SUB-DISTRICT,Basia,Rural,88,0,0,15754,80731,40321,40410,405.71917049724317,198.98246341442857,census
20,366,02711,SUB-DISTRICT,Basia,Urban,0,0,0,0,0,0,0,0,0,census
20,366,02712,SUB-DISTRICT,Gumla,Total,107,0,2,39347,213620,107917,105703,544.3016175847746,392.46622295170533,census
20,366,02712,SUB-DISTRICT,Gumla,Rural,107,0,0,28721,157119,78956,78163,533.5116175847746,294.49967877228823,census
20,366,02712,SUB-DISTRICT,Gumla,Urban,0,0,2,10626,56501,28961,27540,10.79,5236.422613531047,census
20,366,02713,SUB-DISTRICT,Chainpur,Total,83,2,0,10056,56591,28397,28194,471.13658352729067,120.115911136249,census
20,366,02713,SUB-DISTRICT,Chainpur,Rural,83,2,0,10056,56591,28397,28194,471.13658352729067,120.115911136249,census
20,366,02713,SUB-DISTRICT,Chainpur,Urban,0,0,0,0,0,0,0,0,0,census
20,366,02714,SUB-DISTRICT,Dumri,Total,63,0,0,8610,49134,24885,24249,374.7495133257434,131.11157787492914,census
20,366,02714,SUB-DISTRICT,Dumri,Rural,63,0,0,8610,49134,24885,24249,374.7495133257434,131.11157787492914,census
20,366,02714,SUB-DISTRICT,Dumri,Urban,0,0,0,0,0,0,0,0,0,census
20,366,02715,SUB-DISTRICT,Albert Ekka(Jari),Total,51,1,0,5257,30926,15786,15140,213.97596353731555,144.53025231783462,census
20,366,02715,SUB-DISTRICT,Albert Ekka(Jari),Rural,51,1,0,5257,30926,15786,15140,213.97596353731555,144.53025231783462,census
20,366,02715,SUB-DISTRICT,Albert Ekka(Jari),Urban,0,0,0,0,0,0,0,0,0,census
20,366,02716,SUB-DISTRICT,Raidih,Total,61,0,0,13618,71443,35748,35695,515.6020966820666,138.5622759483338,census
20,366,02716,SUB-DISTRICT,Raidih,Rural,61,0,0,13618,71443,35748,35695,515.6020966820666,138.5622759483338,census
20,366,02716,SUB-DISTRICT,Raidih,Urban,0,0,0,0,0,0,0,0,0,census
20,366,02717,SUB-DISTRICT,Palkot,Total,73,0,0,16495,80859,40215,40644,579.1450852699925,139.61786442909073,census
20,366,02717,SUB-DISTRICT,Palkot,Rural,73,0,0,16495,80859,40215,40644,579.1450852699925,139.61786442909073,census
20,366,02717,SUB-DISTRICT,Palkot,Urban,0,0,0,0,0,0,0,0,0,census
20,367,00000,DISTRICT,Simdega,Total,449,1,1,118288,599578,300309,299269,3774.000303945145,158.8706814287302,census
20,367,00000,DISTRICT,Simdega,Rural,449,1,0,110036,556634,278425,278209,3738.000303945145,148.91224043307852,census
20,367,00000,DISTRICT,Simdega,Urban,0,0,1,8252,42944,21884,21060,36,1192.888888888889,census
20,367,02718,SUB-DISTRICT,Simdega,Total,61,0,1,22177,115075,57977,57098,545.6541517392069,210.89365788423362,census
20,367,02718,SUB-DISTRICT,Simdega,Rural,61,0,0,13925,72131,36093,36038,509.6541517392069,141.52930914788243,census
20,367,02718,SUB-DISTRICT,Simdega,Urban,0,0,1,8252,42944,21884,21060,36,1192.888888888889,census
20,367,02719,SUB-DISTRICT,Pakar Tanr,Total,31,0,0,7357,37507,19065,18442,226.70695276411834,165.44265424018508,census
20,367,02719,SUB-DISTRICT,Pakar Tanr,Rural,31,0,0,7357,37507,19065,18442,226.70695276411834,165.44265424018508,census
20,367,02719,SUB-DISTRICT,Pakar Tanr,Urban,0,0,0,0,0,0,0,0,0,census
20,367,02720,SUB-DISTRICT,Kurdeg,Total,25,0,0,9847,47984,23881,24103,274.7114420732362,174.67055481150214,census
20,367,02720,SUB-DISTRICT,Kurdeg,Rural,25,0,0,9847,47984,23881,24103,274.7114420732362,174.67055481150214,census
20,367,02720,SUB-DISTRICT,Kurdeg,Urban,0,0,0,0,0,0,0,0,0,census
20,367,02721,SUB-DISTRICT,Kersai,Total,20,1,0,7580,39218,19582,19636,252.89027321790957,155.07911593818707,census
20,367,02721,SUB-DISTRICT,Kersai,Rural,20,1,0,7580,39218,19582,19636,252.89027321790957,155.07911593818707,census
20,367,02721,SUB-DISTRICT,Kersai,Urban,0,0,0,0,0,0,0,0,0,census
20,367,02722,SUB-DISTRICT,Bolba,Total,26,0,0,6182,30786,15223,15563,292.9512740553603,105.08914869638777,census
20,367,02722,SUB-DISTRICT,Bolba,Rural,26,0,0,6182,30786,15223,15563,292.9512740553603,105.08914869638777,census
20,367,02722,SUB-DISTRICT,Bolba,Urban,0,0,0,0,0,0,0,0,0,census
20,367,02723,SUB-DISTRICT,Thethaitangar,Total,61,0,0,17433,87458,43710,43748,611.2217669352217,143.08718165998977,census
20,367,02723,SUB-DISTRICT,Thethaitangar,Rural,61,0,0,17433,87458,43710,43748,611.2217669352217,143.08718165998977,census
20,367,02723,SUB-DISTRICT,Thethaitangar,Urban,0,0,0,0,0,0,0,0,0,census
20,367,02724,SUB-DISTRICT,Kolebira,Total,53,0,0,14106,71283,35993,35290,438.9948602683954,162.37775530314536,census
20,367,02724,SUB-DISTRICT,Kolebira,Rural,53,0,0,14106,71283,35993,35290,438.9948602683954,162.37775530314536,census
20,367,02724,SUB-DISTRICT,Kolebira,Urban,0,0,0,0,0,0,0,0,0,census
20,367,02725,SUB-DISTRICT,Jaldega,Total,60,0,0,12389,64286,32167,32119,339.6648163520447,189.26305258938257,census
20,367,02725,SUB-DISTRICT,Jaldega,Rural,60,0,0,12389,64286,32167,32119,339.6648163520447,189.26305258938257,census
20,367,02725,SUB-DISTRICT,Jaldega,Urban,0,0,0,0,0,0,0,0,0,census
20,367,02726,SUB-DISTRICT,Bansjor,Total,19,0,0,4981,25519,12856,12663,257.5335181174686,99.09001432722259,census
20,367,02726,SUB-DISTRICT,Bansjor,Rural,19,0,0,4981,25519,12856,12663,257.5335181174686,99.09001432722259,census
20,367,02726,SUB-DISTRICT,Bansjor,Urban,0,0,0,0,0,0,0,0,0,census
20,367,02727,SUB-DISTRICT,Bano,Total,93,0,0,16236,80462,39855,40607,533.6712484221836,150.7707230582283,census
20,367,02727,SUB-DISTRICT,Bano,Rural,93,0,0,16236,80462,39855,40607,533.6712484221836,150.7707230582283,census
20,367,02727,SUB-DISTRICT,Bano,Urban,0,0,0,0,0,0,0,0,0,census
20,368,00000,DISTRICT,Pashchimi Singhbhum,Total,1642,31,11,302046,1502338,749385,752953,7223.996636703798,207.96493624691033,census
20,368,00000,DISTRICT,Pashchimi Singhbhum,Rural,1642,31,0,257294,1284304,637657,646647,7110.076636703798,180.63152700353987,census
20,368,00000,DISTRICT,Pashchimi Singhbhum,Urban,0,0,11,44752,218034,111728,106306,113.92,1913.9220505617977,census
20,368,02728,SUB-DISTRICT,Sonua,Total,100,7,0,16408,77697,38612,39085,201.8962125206551,384.8363425443217,census
20,368,02728,SUB-DISTRICT,Sonua,Rural,100,7,0,16408,77697,38612,39085,201.8962125206551,384.8363425443217,census
20,368,02728,SUB-DISTRICT,Sonua,Urban,0,0,0,0,0,0,0,0,0,census
20,368,02729,SUB-DISTRICT,Gudri,Total,88,0,0,7245,38282,19445,18837,611.8567366329559,62.566933904602614,census
20,368,02729,SUB-DISTRICT,Gudri,Rural,88,0,0,7245,38282,19445,18837,611.8567366329559,62.566933904602614,census
20,368,02729,SUB-DISTRICT,Gudri,Urban,0,0,0,0,0,0,0,0,0,census
20,368,02730,SUB-DISTRICT,Bandgaon,Total,214,2,0,17017,87072,43497,43575,487.8509468926039,178.48074407687506,census
20,368,02730,SUB-DISTRICT,Bandgaon,Rural,214,2,0,17017,87072,43497,43575,487.8509468926039,178.48074407687506,census
20,368,02730,SUB-DISTRICT,Bandgaon,Urban,0,0,0,0,0,0,0,0,0,census
20,368,02731,SUB-DISTRICT,Chakradharpur,Total,171,10,1,41410,197953,99085,98868,394.88294860543493,501.2953856303217,census
20,368,02731,SUB-DISTRICT,Chakradharpur,Rural,171,10,0,29938,141422,70153,71269,381.01294860543493,371.17373705441224,census
20,368,02731,SUB-DISTRICT,Chakradharpur,Urban,0,0,1,11472,56531,28932,27599,13.87,4075.77505407354,census
20,368,02732,SUB-DISTRICT,Khuntpani,Total,115,1,0,15891,83047,41079,41968,415.87940705921085,199.6900990776304,census
20,368,02732,SUB-DISTRICT,Khuntpani,Rural,115,1,0,15891,83047,41079,41968,415.87940705921085,199.6900990776304,census
20,368,02732,SUB-DISTRICT,Khuntpani,Urban,0,0,0,0,0,0,0,0,0,census
20,368,02733,SUB-DISTRICT,Goilkera,Total,106,5,0,15072,74019,37167,36852,534.2778340077532,138.54027865008877,census
20,368,02733,SUB-DISTRICT,Goilkera,Rural,106,5,0,15072,74019,37167,36852,534.2778340077532,138.54027865008877,census
20,368,02733,SUB-DISTRICT,Goilkera,Urban,0,0,0,0,0,0,0,0,0,census
20,368,02734,SUB-DISTRICT,Anandpur,Total,88,0,0,8371,44406,22158,22248,308.06228137891657,144.14617654986662,census
20,368,02734,SUB-DISTRICT,Anandpur,Rural,88,0,0,8371,44406,22158,22248,308.06228137891657,144.14617654986662,census
20,368,02734,SUB-DISTRICT,Anandpur,Urban,0,0,0,0,0,0,0,0,0,census
20,368,02735,SUB-DISTRICT,Manoharpur,Total,99,0,1,18260,90142,45471,44671,968.0904179955846,93.11320339957247,census
20,368,02735,SUB-DISTRICT,Manoharpur,Rural,99,0,0,15765,77689,39183,38506,957.1904179955847,81.16357888609616,census
20,368,02735,SUB-DISTRICT,Manoharpur,Urban,0,0,1,2495,12453,6288,6165,10.9,1142.4770642201834,census
20,368,02736,SUB-DISTRICT,Noamundi,Total,62,1,5,23841,113333,57246,56087,612.6770730413872,184.97999188610768,census
20,368,02736,SUB-DISTRICT,Noamundi,Rural,62,1,0,12163,58832,29573,29259,559.7970730413872,105.09522616894856,census
20,368,02736,SUB-DISTRICT,Noamundi,Urban,0,0,5,11678,54501,27673,26828,52.88,1030.6543116490166,census
20,368,02737,SUB-DISTRICT,Tonto,Total,73,0,0,12129,59918,29794,30124,643.2475842619195,93.14920330210273,census
20,368,02737,SUB-DISTRICT,Tonto,Rural,73,0,0,12129,59918,29794,30124,643.2475842619195,93.14920330210273,census
20,368,02737,SUB-DISTRICT,Tonto,Urban,0,0,0,0,0,0,0,0,0,census
20,368,02738,SUB-DISTRICT,Hat Gamharia,Total,54,0,0,13503,67226,33414,33812,296.41142757815663,226.7996229068264,census
20,368,02738,SUB-DISTRICT,Hat Gamharia,Rural,54,0,0,13503,67226,33414,33812,296.41142757815663,226.7996229068264,census
20,368,02738,SUB-DISTRICT,Hat Gamharia,Urban,0,0,0,0,0,0,0,0,0,census
20,368,02739,SUB-DISTRICT,Chaibasa,Total,74,1,1,30783,155954,78600,77354,210.33840872387952,741.4432815488667,census
20,368,02739,SUB-DISTRICT,Chaibasa,Rural,74,1,0,17032,86389,42327,44062,201.13840872387954,429.5002657527922,census
